"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11458","Unauthorized","","Sun Nov 02 19:32:55 IST 2025","passed","Sun Nov 02 19:33:06 IST 2025","","admin-frontend-e2e","",""
"","7531","Profile","","Sun Nov 02 19:33:26 IST 2025","passed","Sun Nov 02 19:33:33 IST 2025","","admin-frontend-e2e","",""
"","0","SignupExample","","Sun Nov 02 19:33:48 IST 2025","skipped","Sun Nov 02 19:33:48 IST 2025","","admin-frontend-e2e","",""
"","12276","Dashboard","","Sun Nov 02 19:33:14 IST 2025","passed","Sun Nov 02 19:33:26 IST 2025","","admin-frontend-e2e","",""
"","5757","UserManagement","","Sun Nov 02 19:33:42 IST 2025","passed","Sun Nov 02 19:33:48 IST 2025","","admin-frontend-e2e","",""
"","8608","AuditLog","","Sun Nov 02 19:33:33 IST 2025","passed","Sun Nov 02 19:33:42 IST 2025","","admin-frontend-e2e","",""
"","1308","Home","","Sun Nov 02 19:32:53 IST 2025","passed","Sun Nov 02 19:32:55 IST 2025","","admin-frontend-e2e","",""
"","0","SignupTotpExample","","Sun Nov 02 19:33:48 IST 2025","skipped","Sun Nov 02 19:33:48 IST 2025","","admin-frontend-e2e","",""
"","7514","PrivateRoutes","","Sun Nov 02 19:33:06 IST 2025","passed","Sun Nov 02 19:33:14 IST 2025","","admin-frontend-e2e","",""
